code;nameja;kana
352430;一戸町高善寺;いちのへまちこうぜんじ
321400;八幡平市大更;はちまんたいしおおぶけ
321420;八幡平市田頭;はちまんたいしでんどう
321431;八幡平市叺田;はちまんたいしかますだ
321433;八幡平市野駄;はちまんたいしのだ
350131;軽米町軽米;かるまいまちかるまい
350631;九戸村伊保内;くのへむらいぼない
332232;矢巾町南矢幅;やはばちょうみなみやはば
332132;紫波町紫波中央駅前;しわちょうしわちゅうおうえきまえ
321630;滝沢市鵜飼;たきざわしうかい
320500;花巻市大迫町;はなまきしおおはさままち
320520;花巻市石鳥谷町;はなまきしいしどりやちょう
320531;花巻市大迫総合支所;はなまきしおおはさまそうごうししょ
320535;花巻市材木町;はなまきしざいもくちょう
320537;花巻市東和町;はなまきしとうわちょう
320600;北上市柳原町;きたかみしやなぎはらちょう
320621;北上市相去町;きたかみしあいさりちょう
320821;遠野市青笹町;とおのしあおざさちょう
320831;遠野市宮守町;とおのしみやもりちょう
320902;一関市大東町;いちのせきしだいとうちょう
320921;一関市竹山町;いちのせきしたけやまちょう
320935;一関市花泉町;いちのせきしはないずみちょう
320936;一関市千厩町;いちのせきしせんまやちょう
320937;一関市東山町;いちのせきしひがしやまちょう
320938;一関市室根町;いちのせきしむろねちょう
320939;一関市藤沢町;いちのせきしふじさわちょう
320940;一関市川崎町;いちのせきしかわさきちょう
338131;金ケ崎町西根;かねがさきちょうにしね
340231;平泉町平泉;ひらいずみちょうひらいずみ
336620;西和賀町川尻;にしわがまちかわしり
336621;西和賀町沢内川舟;にしわがまちさわうちかわふね
336631;西和賀町沢内太田;にしわがまちさわうちおおた
321500;奥州市水沢大鐘町;おうしゅうしみずさわおおがねちょう
321520;奥州市水沢佐倉河;おうしゅうしみずさわさくらかわ
321530;奥州市江刺;おうしゅうしえさし
321531;奥州市前沢;おうしゅうしまえさわ
321535;奥州市胆沢;おうしゅうしいさわ
321536;奥州市衣川;おうしゅうしころもがわ
420500;気仙沼市赤岩;けせんぬましあかいわ
420501;気仙沼市本吉町西川内;けせんぬましもとよしちょうにしかわうち
420520;気仙沼市笹が陣;けせんぬましささがじん
420530;気仙沼市唐桑町;けせんぬましからくわちょう
420531;気仙沼市本吉町津谷;けせんぬましもとよしちょうつや
444530;宮城加美町中新田;みやぎかみまちなかにいだ
444531;宮城加美町小野田;みやぎかみまちおのだ
444532;宮城加美町宮崎;みやぎかみまちみやざき
444431;色麻町四竈;しかまちょうしかま
450100;涌谷町新町裏;わくやちょうしんまちうら
421300;栗原市栗駒;くりはらしくりこま
421321;栗原市築館;くりはらしつきだて
421334;栗原市鶯沢;くりはらしうぐいすざわ
421337;栗原市花山;くりはらしはなやま
421339;栗原市瀬峰;くりはらしせみね
421340;栗原市志波姫;くりはらししわひめ
421341;栗原市高清水;くりはらしたかしみず
421342;栗原市金成;くりはらしかんなり
421343;栗原市若柳;くりはらしわかやなぎ
421344;栗原市一迫;くりはらしいちはさま
421200;登米市中田町;とめしなかだちょう
421220;登米市東和町;とめしとうわちょう
421222;登米市豊里町;とめしとよさとちょう
421231;登米市登米町;とめしとよままち
421234;登米市南方町;とめしみなみかたまち
421236;登米市迫町;とめしはさまちょう
421237;登米市石越町;とめしいしこしまち
421238;登米市津山町;とめしつやまちょう
421239;登米市米山町;とめしよねやまちょう
460602;南三陸町志津川;みなみさんりくちょうしづがわ
460621;南三陸町歌津;みなみさんりくちょううたつ
450530;宮城美里町北浦;みやぎみさとまちきたうら
450531;宮城美里町木間塚;みやぎみさとまちきまつか
421500;大崎市古川三日町;おおさきしふるかわみっかまち
421501;大崎市古川大崎;おおさきしふるかわおおさき
421523;大崎市鳴子;おおさきしなるこ
421524;大崎市古川旭;おおさきしふるかわあさひ
421530;大崎市松山;おおさきしまつやま
421531;大崎市三本木;おおさきしさんぼんぎ
421532;大崎市鹿島台;おおさきしかしまだい
421533;大崎市岩出山;おおさきしいわでやま
421535;大崎市田尻;おおさきしたじり
420620;白石市亘理町;しろいししわたりまち
420700;仙台空港;せんだいくうこう
420730;名取市増田;なとりしますだ
420820;角田市角田;かくだしかくだ
421120;岩沼市桜;いわぬましさくら
430130;蔵王町円田;ざおうまちえんだ
430230;七ヶ宿町関;しちかしゅくまちせき
432131;大河原町新南;おおがわらまちしんみなみ
432230;村田町村田;むらたまちむらた
