code;nameja;kana;nameen;lat;lon;citycode;arv
2820631;芦屋市精道町;あしやしせいどうちょう;Ashiya City Seido Town;34.73;135.31;2820600;1.4170
2820731;伊丹市千僧;いたみしせんぞ;Itami City Senzo;34.78;135.40;2820700;1.2010
2821000;加古川市加古川町;かこがわしかこがわちょう;Kakogawa City Kakogawa Town;34.76;134.84;2821000;1.9393
2821020;加古川市志方町;かこがわししかたまち;Kakogawa City Shikata Town;34.83;134.82;2821000;1.1924
2821320;西脇市上比延町;にしわきしかみひえちょう;Nishiwaki City Kamihie Town;35.00;135.00;2821300;0.5689
2821331;西脇市黒田庄町前坂;にしわきしくろだしょうちょうまえさか;Nishiwaki City Kurodasho Town Maesaka;35.04;134.99;2821300;1.1147
2821431;宝塚市東洋町;たからづかしとうようちょう;Takarazuka City Toyo Town;34.80;135.36;2821400;1.2459
2821500;三木市細川町;みきしほそかわちょう;Miki City Hosokawa Town;34.81;135.05;2821500;0.9479
2821520;三木市福井;みきしふくい;Miki City Fukui;34.80;134.99;2821500;0.9712
2821531;三木市吉川町;みきしよかわちょう;Miki City Yokawa Town;34.89;135.12;2821500;0.9646
2821633;高砂市荒井町;たかさごしあらいちょう;Takasago City Arai Town;34.77;134.79;2821600;1.7490
2820321;明石市二見;あかししふたみ;Akashi City Futami;34.70;134.88;2820300;1.2225
2821730;川西市中央町;かわにししちゅうおうちょう;Kawanishi City Chuuo Town;34.83;135.42;2821700;1.6461
2821900;三田市下深田;さんだししもふかた;Sanda City Shimofukata;34.89;135.21;2821900;1.0801
2821920;三田市下里;さんだししもざと;Sanda City Shimozato;34.95;135.27;2821900;0.5689
2822000;加西市下万願寺町;かさいししもまんがんじちょう;Kasai City Shimomanganji Town;34.99;134.84;2822000;0.5689
2822030;加西市北条町;かさいしほうじょうちょう;Kasai City Hojo Town;34.93;134.84;2822000;1.1200
2830130;猪名川町紫合;いながわちょうゆうだ;Inagawa Town Yuda;34.91;135.38;2830100;1.0600
2838130;兵庫稲美町国岡;ひょうごいなみちょうくにおか;Hyogo Inami Town Kunioka;34.75;134.91;2838100;1.1471
2838230;播磨町東本荘;はりまちょうひがしほんじょう;Harima Town Higashihonjo;34.72;134.87;2838200;1.3096
2822100;丹波篠山市北新町;たんばささやましきたしんまち;Tanbasasayama City Kitashin Town;35.08;135.22;2822100;0.8521
2822120;丹波篠山市杉;たんばささやましすぎ;Tanbasasayama City Sugi;35.06;135.18;2822100;0.8175
